portal,question_text,option_a,option_b,option_c,option_d,correct_option,topic_tag,is_active,sort_order
oow,"In a crossing situation between two power-driven vessels, the give-way vessel should normally:","Maintain course and speed","Avoid crossing ahead if circumstances allow","Sound one prolonged blast only","Stop engines and drift clear","B","colregs",1,1
oow,"Under COLREG Rule 5, a proper lookout must be maintained by:","Radar alone","The master only","Sight and hearing as well as all available means","Automatic identification system alone","C","colregs",1,2
oow,"A vessel constrained by her draught is displaying by day:","Three black balls","A black cylinder","A diamond shape","A cone apex upward","B","colregs",1,3
oow,"In restricted visibility, the safe speed of a vessel should be:","The maximum sea speed available","Adjusted to the prevailing circumstances and conditions","Set only by the engine manufacturer","The same as in clear weather if radar is operational","B","colregs",1,4
oow,"A sailing vessel underway at night should show sidelights and:","A yellow sternlight only","A white all-round light","A sternlight","Two red masthead lights","C","colregs",1,5
oow,"When two power-driven vessels are meeting head-on, each should:","Alter to port","Maintain course until close-quarters develops","Alter to starboard","Stop engines immediately","C","colregs",1,6
oow,"The stand-on vessel in a crossing situation should initially:","Take early avoiding action regardless","Maintain course and speed","Alter to port to help the give-way vessel","Sound the aground signal","B","colregs",1,7
oow,"A vessel not under command shows at night:","Two all-round red lights in a vertical line","Three all-round green lights in a vertical line","A red over white combination","One flashing white light","A","colregs",1,8
oow,"The sound signal for a power-driven vessel underway but stopped and making no way in fog is:","One prolonged blast every 2 minutes","Two prolonged blasts every 2 minutes","One short, one prolonged, one short","Rapid ringing of the bell","B","colregs",1,9
oow,"Under Rule 10, a vessel using a traffic separation lane should normally:","Proceed against the direction of traffic if clear","Keep as near to the outer limit as practicable","Proceed in the general direction of traffic flow","Cross diagonally to save time","C","colregs",1,10
oow,"A vessel engaged in pilotage duty on pilotage duty may show at night:","White over red lights","White over white lights","Red over white lights","Green over white lights","B","colregs",1,11
oow,"When overtaking, a vessel is deemed to be overtaking if coming up from more than:","22.5 degrees abaft the beam","10 degrees abaft the beam","Right astern only","112.5 degrees abaft the beam","A","colregs",1,12
oow,"A vessel at anchor of 50 metres or more shall exhibit by day:","One black ball","Two black balls","A black diamond","A black cylinder","A","colregs",1,13
oow,"Which light is carried by a towing vessel when the tow exceeds 200 metres?","Two masthead lights in a vertical line","Three masthead lights in a vertical line","A red over white over red vertical line","A flashing yellow light only","B","colregs",1,14
oow,"Action taken to avoid collision should be:","Small and difficult to detect","Positive, made in ample time, and with due regard to good seamanship","Delayed until the last safe moment","Always a turn to port","B","colregs",1,15
oow,"The chart symbol 'Fl(2) 8s' indicates:","A fixed light for 2 seconds every 8 seconds","A group of two flashes every 8 seconds","Two lights flashing alternately over 8 seconds","A flashing light visible for 8 miles","B","chartwork",1,16
oow,"A true bearing is measured:","Clockwise from magnetic north","Clockwise from true north","From the ship's head only","Counter-clockwise from compass north","B","chartwork",1,17
oow,"The main purpose of a large-scale chart in pilotage waters is to:","Show distant ocean currents only","Provide detailed information for close navigation","Replace the need for visual lookout","Display weather facsimile data","B","chartwork",1,18
oow,"A line joining positions of equal depth is called:","A contour line","An isobar","An isogon","A bearing line","A","chartwork",1,19
oow,"On an Admiralty chart, a magenta dashed line commonly indicates:","A traffic lane or routeing feature","A depth contour","A submarine cable out of use","A radar range ring","A","chartwork",1,20
oow,"The best charted objects for a visual fix are those that are:","Low-lying and difficult to identify","Conspicuous, accurately charted, and well separated","Moving with the tide","Close together on the same bearing","B","chartwork",1,21
oow,"A position obtained from a single object and radar range is usually called a:","Running fix","Dead reckoning position","Range and bearing fix","Compass adjustment fix","C","chartwork",1,22
oow,"When transferring a position line to obtain a running fix, the line is moved by the vessel's:","Leeway only","Course and distance made good between observations","Heading only","Change of gyro error only","B","chartwork",1,23
oow,"The chart datum is primarily used as the reference for:","Air temperature observations","Charted depths and heights of tide","Compass deviation tables","Bridge visibility limits","B","chartwork",1,24
oow,"A danger bearing is mainly used to:","Mark a safe speed limit","Indicate a line that should not be crossed","Find gyro error","Calculate fuel consumption","B","chartwork",1,25
oow,"A clearing bearing is used to:","Keep a vessel clear of a danger","Measure current speed","Find range off by vertical sextant angle","Estimate barometric tendency","A","chartwork",1,26
oow,"The abbreviation 'PA' on a chart usually means:","Position approximate","Pilot aboard","Port authority office","Partly obscured light","A","chartwork",1,27
oow,"An isolated danger mark has topmarks consisting of:","Two black balls","Two black cones points together","A red sphere","A yellow X-shape","B","chartwork",1,28
oow,"On a Mercator chart, rhumb lines are represented as:","Straight lines","Great circles","Parabolic curves","Sinusoidal curves","A","chartwork",1,29
oow,"A chart note stating 'positions in this area are unreliable' should lead the navigator to:","Ignore satellite fixes completely","Use extra caution and cross-check with all available means","Avoid the area in all circumstances","Steer only by magnetic compass","B","chartwork",1,30
oow,"The first objective when preparing a berth-to-berth passage plan is to:","Order stores for arrival","Appraise all relevant information","Post the wheelhouse watch bill","Select the highest service speed","B","passage-planning",1,31
oow,"During the appraisal stage of passage planning, the navigator should consider:","Charts, publications, weather, tides, and vessel limitations","Only the departure chart","Only the destination berth details","Only engine maintenance records","A","passage-planning",1,32
oow,"A wheel-over position is marked on the plan mainly to indicate where to:","Start logging engine revolutions","Commence alteration of course","Take noon sights","Disembark the pilot","B","pilotage",1,33
oow,"No-go areas on a passage plan are intended to show:","Areas of strongest following current","Water where the vessel must not enter safely","Preferred fishing grounds","Pilot boarding positions only","B","passage-planning",1,34
oow,"Under-keel clearance policy on a passage plan should account for:","Water density only","Static draught only","Squat, heel, tide, and chart accuracy","Pilot ladder length only","C","passage-planning",1,35
oow,"When a pilot boards, the bridge team should:","Hand over navigation entirely and leave the bridge","Continue an effective bridge team and monitor the pilotage plan","Stop fixing the vessel until alongside","Use only visual bearings thereafter","B","pilotage",1,36
oow,"The most suitable method for checking progress in a narrow channel is:","Occasional DR positions only","Frequent positions by all appropriate means with clear cross-track limits","A single fix at the channel entrance","Relying on the pilot's local knowledge alone","B","pilotage",1,37
oow,"Parallel indexing on radar is primarily used to:","Find gyro error","Monitor cross-track distance from a charted line or object","Measure barometric pressure","Plot great-circle tracks","B","pilotage",1,38
oow,"A planned position at a stated time on the passage plan is often called:","An EP only","A waypoint","A wheelhouse order","A call point","D","passage-planning",1,39
oow,"A call to the master should be made when:","The OOW is in any doubt about the situation","The sea is calm and visibility is good","The vessel is on schedule","The galley reports stores received","A","watchkeeping",1,40
oow,"When entering a traffic separation scheme, the passage plan should include:","The crew meal roster","Likely reporting points and rule-compliant routeing","Only the next bunkering port","The paint colours of buoys","B","passage-planning",1,41
oow,"The purpose of a contingency plan within passage planning is to:","List spare navigation equipment only","Provide actions for reasonably foreseeable emergencies or deviations","Replace the berth plan","Avoid notifying the master of problems","B","passage-planning",1,42
oow,"Before commencing pilotage, the bridge team should normally agree:","Only the pilot's preferred VHF channel","The detailed plan, wheel-over points, abort points, and UKC limits","Only the berth number","Only the expected tug names","B","pilotage",1,43
oow,"An abort point in a pilotage plan is the position beyond which:","Anchoring becomes impossible","The intended manoeuvre should not be continued without commitment","The vessel must increase to full speed","The pilot disembarks","B","pilotage",1,44
oow,"When monitoring a passage plan, a repeated cross-track error trend usually means:","The chart scale is too large","The vessel is consistently being set or steered off track","The echo sounder is faulty","The voyage orders are invalid","B","passage-planning",1,45
oow,"On a relative-motion radar display, a target with zero relative movement is likely to be:","Passing safely ahead","On a steady bearing with risk of collision if range is decreasing","Anchored to the seabed in all cases","Clear because its true course is shown","B","radar",1,46
oow,"Sea clutter on radar is mainly caused by:","Returns from waves near the ship","Electrical interference from the gyro repeater","Echoes from rain showers only","Over-correction of compass error","A","radar",1,47
oow,"The anti-rain clutter control is intended to reduce echoes from:","Distant coastlines","Precipitation","Small craft in pilotage waters","Buoys with radar reflectors","B","radar",1,48
oow,"A 3 cm radar compared with a 10 cm radar generally gives:","Better performance in heavy rain","Better definition of small targets at short range","No difference in target discrimination","Less susceptibility to sea clutter","B","radar",1,49
oow,"The main limitation of radar for collision avoidance is that it:","Cannot detect any land echoes","May not show the intentions of other vessels","Cannot measure target range","Cannot be used at night","B","radar",1,50
oow,"An off-centre display on radar is most useful when:","Looking well ahead on the planned track","Checking the gyro error","Plotting tides on the chart","Testing the whistle","A","radar",1,51
oow,"On a head-up stabilized display, a target echo abaft the beam will:","Remain fixed on north","Move with alterations of own ship's heading","Show true vectors automatically","Indicate CPA directly without ARPA","B","radar",1,52
oow,"Blind sectors on radar are dangerous because they:","Always create false echoes","Can prevent detection of targets in certain bearings","Increase the vessel's draught","Disable the gyrocompass","B","radar",1,53
oow,"The best way to confirm that a weak radar contact is real is to:","Switch off gain completely","Observe it on successive sweeps and settings, and cross-check if possible","Assume it is a buoy","Change only the display colour palette","B","radar",1,54
oow,"The variable range marker on radar is used primarily to:","Measure range to a target","Assess target aspect visually","Correct magnetic variation","Plot a great-circle route","A","radar",1,55
oow,"Electronic bearing lines on radar are used to:","Measure bearings of targets","Reduce sea clutter","Correct chart datum","Transmit AIS data","A","radar",1,56
oow,"ARPA trial manoeuvre is used to:","Check echo sounder calibration","Predict the effect of a proposed avoiding action","Measure tide height","Select the best chart scale","B","arpa",1,57
oow,"A tracked ARPA target showing a very small CPA and short TCPA requires:","No action if AIS name is known","Immediate appraisal and, if necessary, early avoiding action","Only a logbook entry","A change to hand steering regardless of risk","B","arpa",1,58
oow,"ARPA information is most reliable when:","Targets are tracked for sufficient time with accurate sensor inputs","Own ship is rolling heavily","Only one scanner is operational","The radar is left on automatic gain only","A","arpa",1,59
oow,"A target vector on true motion radar represents the target's:","Relative track only","Compass error","Motion over the ground or water as selected","Navigational status from AIS","C","arpa",1,60
oow,"The primary advantage of ECDIS in route monitoring is:","It removes the need for a lookout","It can provide automatic alarms related to the planned route","It replaces COLREG responsibilities","It guarantees GNSS accuracy","B","ecdis",1,61
oow,"Before relying on an ENC, the navigator should confirm the:","Galley inventory","Dataset is appropriate, up to date, and correctly loaded","Weather forecast only","Cargo securing manual revision","B","ecdis",1,62
oow,"An ECDIS safety contour is mainly used to:","Display the tidal curve","Highlight depths shallower than a chosen limit","Show only traffic lanes","Identify magnetic anomalies","B","ecdis",1,63
oow,"The term 'overscale' on ECDIS means:","The display is being viewed at a larger scale than the data was compiled for","The ship is moving too fast for the screen refresh","The ENC file is corrupted","The route contains too many waypoints","A","ecdis",1,64
oow,"An ECDIS alarm should never be:","Investigated and acknowledged appropriately","Permanently silenced without understanding the cause","Recorded when required by company procedures","Cross-checked with other information","B","ecdis",1,65
oow,"What is the purpose of setting a cross-track limit in ECDIS?","To improve satellite reception","To warn if the vessel deviates excessively from the planned track","To increase chart loading speed","To change the ship's heading automatically","B","ecdis",1,66
oow,"A route check in ECDIS should be carried out:","After sailing only","Before execution and whenever the route is amended","Only by the master in port","Only if a pilot is not embarked","B","ecdis",1,67
oow,"The SCAMIN attribute on ENC objects affects:","The minimum display scale at which objects appear","The sound signal for a fog signal station","The ship's minimum safe speed","The interval between chart corrections","A","ecdis",1,68
oow,"When an ECDIS position source is lost, the OOW should first:","Ignore the alarm if visual bearings are available","Assess the situation and continue fixing by alternative means","Immediately abandon the voyage","Delete the route and rebuild it","B","ecdis",1,69
oow,"Raster chart display differs from ENC display because raster charts:","Are object-based and alarm-enabled by default","Are digital pictures of paper charts","Do not require any official updates","Always show more depth detail than ENCs","B","ecdis",1,70
oow,"The conning display on an integrated bridge system is mainly intended to show:","Cargo temperatures","Essential navigation and manoeuvring data in one place","Crew payroll records","Only AIS static data","B","ecdis",1,71
oow,"A gyrocompass seeks the direction of:","Magnetic north","Grid north","True north","Compass north corrected for deviation only","C","compass",1,72
oow,"Compass deviation is caused mainly by:","Earth's rotation","Local magnetic influence from the ship","Chart datum error","Variation changing with tide","B","compass",1,73
oow,"Magnetic variation is the angle between:","Compass north and ship's head","True north and magnetic north","True north and relative bearing","Gyro north and compass north only when rolling","B","compass",1,74
oow,"A vessel on easterly compass error will steer a compass course that is:","Less than the true course for the same intended heading","More than the true course for the same intended heading","Always equal to the magnetic course","Unaffected by variation","A","compass",1,75
oow,"The azimuth of a celestial body may be used to determine:","Echo sounder error","Compass error","TPC","Height of tide directly","B","compass",1,76
oow,"The amplitude of the sun is taken when the sun is:","On the meridian","On the prime vertical","Rising or setting","At maximum altitude","C","compass",1,77
oow,"A gyrocompass error may be checked by comparison with a:","Hydrometer reading","Transit bearing of charted objects","Boiler pressure gauge","Logbook noon entry","B","compass",1,78
oow,"If the gyro repeater differs significantly from the master gyro, the OOW should:","Ignore it if the track looks correct","Treat it as a defect and use verified heading information","Alter the safety contour","Change the radar pulse length","B","compass",1,79
oow,"In high latitudes, gyrocompass performance may:","Improve markedly due to convergence of meridians","Become less reliable","Be unaffected by latitude","Match the magnetic compass exactly","B","compass",1,80
oow,"The coefficient B on a deviation card is associated mainly with:","Semicircular deviation","Quadrantal deviation","Heeling error only","Variation change per month","A","compass",1,81
oow,"A magnetic compass heeling error is most noticeable when the vessel:","Changes latitude","Is upright on an even keel","Heels while on certain headings","Anchors in deep water","C","compass",1,82
oow,"The lubber line of a magnetic compass indicates:","Magnetic north","The ship's fore-and-aft line","The next waypoint bearing","The direction of tidal stream","B","compass",1,83
oow,"A gyrocompass requires latitude input primarily to correct for:","Tidal height","Earth rate effects","Sound velocity","Leeway","B","compass",1,84
oow,"The standard magnetic compass should be located where it is:","Close to strong electrical equipment","Subject to minimum magnetic interference","Mounted below the waterline","Directly over the engine casing","B","compass",1,85
oow,"When converting true course to compass course, the navigator applies:","Variation then deviation","Deviation then variation","Leeway then variation","Dip then declination","A","compass",1,86
oow,"The height of tide at a given time is found by applying the:","Deviation table","Tidal prediction for the place and time","Compass correction card","ARPAloss alarm setting","B","tides",1,87
oow,"A spring tide occurs when:","The sun and moon act approximately in line","There is no moon","The moon is at first quarter only","The wind is offshore","A","tides",1,88
oow,"Neap tides occur when the sun and moon are:","In conjunction","At right angles relative to the Earth","At perigee","At apogee and full moon","B","tides",1,89
oow,"The interval between the moon's meridian passage and local high water is called the:","Lunitidal interval","Chart datum allowance","Dip correction","Range rate","A","tides",1,90
oow,"A tidal stream atlas is mainly used to determine:","Heights of tide in harbour","Direction and rate of tidal streams at stated times","Magnetic variation changes","Wave period offshore","B","tides",1,91
oow,"When calculating secondary port height of tide, the navigator uses:","The annual deviation card","Differences applied to the standard port data","Only the standard port times without correction","A chartwork running fix","B","tides",1,92
oow,"Charted depths are reduced to chart datum because chart datum is usually:","Above the highest astronomical tide","A low-water reference level","The mean sea level at all ports","Equal to mean high water springs","B","tides",1,93
oow,"A flood stream is the stream that:","Sets towards low water","Sets towards high water or upstream","Always runs north","Has the greatest spring rate","B","tides",1,94
oow,"If a vessel experiences a set to starboard, the current is moving the vessel:","To port of the intended track","To starboard of the intended track","Directly astern","Without any drift angle","B","tides",1,95
oow,"Slack water is the period when:","There is no tide height change","The tidal stream is at or near zero rate","Wind speed falls calm","The vessel is not making way","B","tides",1,96
oow,"The main purpose of calculating squat is to assess:","Compass reliability","Reduction in under-keel clearance due to speed in shallow water","Change in magnetic variation","Improvement in radar range","B","tides",1,97
oow,"In confined shallow water, squat generally increases as:","Speed increases","Speed decreases","Draught decreases only","Wind shifts offshore","A","tides",1,98
oow,"If the charted depth is 11.0 m, the height of tide is 2.4 m, and squat is 0.4 m, the available water depth is:","12.6 m","13.8 m","13.0 m","8.2 m","C","tides",1,99
oow,"A tidal diamond on a chart gives information about:","Pilot boarding arrangements","Tidal stream direction and rate","Height of tide at springs only","Wave height in deep water","B","tides",1,100
oow,"A veering wind changes direction:","Clockwise","Counter-clockwise","Erratically with no pattern","Only with increased pressure","A","meteorology",1,101
oow,"In the northern hemisphere, wind circulates around a low-pressure system generally:","Clockwise and outward","Anticlockwise and inward","Clockwise and inward","Anticlockwise and outward","B","meteorology",1,102
oow,"A rapid fall in barometric pressure may indicate:","Approaching bad weather or a depression","Immediate improvement in visibility","A stable anticyclone strengthening","Slack water at the next port","A","meteorology",1,103
oow,"Advection fog forms when:","Warm moist air passes over a colder surface","The sky is cloudless overnight over land","A cold front passes with thunderstorms","Rain evaporates into dry air aloft only","A","meteorology",1,104
oow,"A backing wind changes direction:","Clockwise","Counter-clockwise","Only in gusts","Only with falling temperature","B","meteorology",1,105
oow,"The symbol on a synoptic chart with triangles on one side represents a:","Warm front","Cold front","Occluded front","Ridge of high pressure","B","meteorology",1,106
oow,"In the northern hemisphere, Buys Ballot's law states that with the wind on your back, low pressure lies to your:","Left","Right","Ahead","Astern","A","meteorology",1,107
oow,"The main hazard of cumulonimbus cloud to a vessel is:","Persistent drizzle only","Squalls, thunderstorms, and poor visibility","Stable clear weather","A permanent rise in pressure","B","meteorology",1,108
oow,"Wave period is the time between:","Two successive wave crests passing a fixed point","High water and low water","Sunrise and sunset","Barometer readings","A","meteorology",1,109
oow,"A swell differs from a sea because swell is:","Generated locally by present wind only","Usually more regular and has travelled from a distant source","Always shorter in wavelength","Confined to estuaries","B","meteorology",1,110
oow,"An occluded front forms when:","A warm front overtakes a cold front","A cold front overtakes a warm front","Two highs merge","A trough becomes a ridge","B","meteorology",1,111
oow,"The dew point is the temperature at which air becomes:","Unsaturated","Saturated and condensation may begin","Too warm for fog","Stable at any humidity","B","meteorology",1,112
oow,"The Beaufort scale describes wind force based originally on:","Barometric pressure","Observed sea and weather conditions","Air temperature only","Tidal range","B","meteorology",1,113
oow,"A line joining places of equal atmospheric pressure is called an:","Isobath","Isotherm","Isobar","Isogon","C","meteorology",1,114
oow,"A ridge on a weather chart is an extension of:","Low pressure","High pressure","An occluded front","A tidal stream","B","meteorology",1,115
oow,"The officer of the watch should not hand over the watch if:","The weather is fine","A manoeuvre is in progress or a danger is developing","The next watchkeeper is early","The master is asleep","B","watchkeeping",1,116
oow,"A proper bridge watch at sea should normally include:","No lookout in daylight","A lookout maintained as required in addition to the OOW when necessary","Only the helmsman","Only electronic watch alarms","B","watchkeeping",1,117
oow,"The bridge navigational watch alarm system is designed to:","Replace the OOW","Monitor alertness on the bridge and call assistance if needed","Track tidal streams automatically","Transmit route plans ashore","B","watchkeeping",1,118
oow,"When visibility deteriorates, the OOW should first:","Assume radar is sufficient","Call the master, post extra lookout as required, and proceed at safe speed","Maintain full speed until traffic is seen","Switch off deck lights only","B","watchkeeping",1,119
oow,"The helmsman should repeat and confirm helm orders:","Only in pilotage waters","Clearly and immediately","Only when the order is unusual","Never if hand steering is engaged","B","watchkeeping",1,120
oow,"When changing from automatic to hand steering, the bridge team should:","Assume the rudder remains midships","Ensure the changeover is checked and understood","Do it only in daylight","Silence all steering alarms first","B","watchkeeping",1,121
oow,"The OOW's watchkeeping responsibilities include:","Keeping the ship on schedule at all costs","Maintaining safe navigation, lookout, and compliance with regulations","Managing cargo calculations during every watch","Delegating all collision avoidance to the AB","B","watchkeeping",1,122
oow,"A lookout should report immediately:","Only vessels dead ahead","Any lights, shapes, sound signals, or hazards detected","Only objects seen on radar","Only pilot boats","B","watchkeeping",1,123
oow,"If the bridge team becomes uncertain of the vessel's position, the safest response is to:","Continue at planned speed until the next fix","Reduce risk, call the master, and establish position by all available means","Ignore one doubtful fix","Rely solely on the ECDIS route line","B","watchkeeping",1,124
oow,"Night order books are intended primarily to:","Replace company standing orders","Record the master's standing instructions for the bridge team","Log only engine defects","List port state deficiencies","B","watchkeeping",1,125
oow,"Fatigue is a navigation risk mainly because it can:","Improve confidence in decision-making","Degrade lookout, judgment, and response time","Increase radar range","Reduce compass deviation","B","watchkeeping",1,126
oow,"The OOW should ensure navigation lights are:","Checked and confirmed operational at the appropriate times","Switched on only when another ship is sighted","Tested only in harbour","Left on throughout daylight","A","watchkeeping",1,127
oow,"When steering by magnetic compass after gyro failure, the bridge team should be especially alert to:","Changes in gyro latitude correction","Compass error and steering accuracy","AIS static data accuracy","Echo sounder pulse length","B","watchkeeping",1,128
oow,"A master's standing order to call him if in doubt means the OOW should:","Wait until the doubt becomes an emergency","Call promptly whenever uncertainty affects safe navigation","Call only after consulting the chief engineer","Record the doubt and mention it at handover","B","watchkeeping",1,129
oow,"The main reason for monitoring course recorder and heading repeaters is to:","Calculate bunkers","Confirm the vessel is being steered as intended","Find chart datum","Measure tidal range","B","watchkeeping",1,130
oow,"If a vessel steers 090°T for 2 hours at 12 knots with no set or drift, the distance made good is:","6 miles","12 miles","18 miles","24 miles","D","navigation-calculations",1,131
oow,"A vessel runs 45 miles in 3 hours. Her average speed is:","12 knots","15 knots","18 knots","20 knots","B","navigation-calculations",1,132
oow,"If ETA must be advanced by 1 hour over a remaining distance of 120 miles, the required increase in speed from 12 knots is to:","13 knots","14 knots","15 knots","16 knots","C","navigation-calculations",1,133
oow,"The main purpose of a back bearing in pilotage is to:","Check the vessel remains on a transit or planned line after passing an object","Determine tidal height","Measure rate of turn","Calibrate AIS","A","pilotage",1,134
oow,"A transit is most useful because it provides:","A line of position with high directional accuracy","A direct measure of tide height","A magnetic bearing without correction","A radar range without plotting","A","pilotage",1,135
oow,"When approaching a berth with a strong crosswind, the bridge team should be especially aware of:","Magnetic dip only","Leeway and available manoeuvring room","The lunitidal interval","Gyro latitude speed correction only","B","pilotage",1,136
oow,"A conspicuous sector light is especially valuable in pilotage because it:","Shows the exact depth under the keel","Indicates whether the vessel is within a safe sector","Replaces radar entirely","Marks only anchorage limits","B","pilotage",1,137
oow,"An echo sounder is most useful during pilotage for:","Providing a continuous check on depth trends against expectation","Determining magnetic variation","Calculating CPA","Measuring wind direction","A","pilotage",1,138
oow,"When anchoring in a tidal stream, the vessel should normally be brought to the anchor with:","The current astern","The current ahead and the vessel under control","Maximum sternway","No regard to stream direction","B","pilotage",1,139
oow,"A position circle from a radar range touches a position line at a very small angle. The resulting fix is likely to be:","Well conditioned","Poorly conditioned and less reliable","Exact if GPS is available","Unaffected by geometry","B","chartwork",1,140
oow,"The most reliable immediate check on a suspected GNSS error near land is to:","Increase display brightness","Cross-check with independent visual, radar, and depth information","Change the chart scale","Reboot the AIS","B","ecdis",1,141
oow,"The term 'set' refers to the current's:","Speed only","Direction toward which it flows","Direction from which the wind blows","Effect on propeller slip","B","tides",1,142
oow,"The term 'drift' refers to the current's:","Direction toward which it flows","Direction from which it flows","Rate or speed","Effect on sea clutter","C","tides",1,143
oow,"A vessel making good less speed over the ground than through the water is likely experiencing:","A following current","A head current","No current","Only leeway","B","navigation-calculations",1,144
oow,"If the true course is 210°, variation 4°W, and deviation 2°E, the compass course is:","204°","208°","212°","216°","C","compass",1,145
oow,"A relative bearing of 045° on the starboard bow from a ship heading 120°T gives a true bearing of:","075°T","145°T","165°T","175°T","C","chartwork",1,146
oow,"On a course-up display, the top of the screen represents:","True north always","The vessel's current course or heading reference","Magnetic north only","The next waypoint bearing","B","radar",1,147
oow,"The main purpose of an under-keel clearance alarm in ECDIS or an IBS is to:","Replace echo sounder monitoring","Give timely warning that safe depth margins may be reducing","Calculate trim automatically","Show squat directly from engine load","B","ecdis",1,148
oow,"Before entering a narrow channel in reduced visibility, the bridge team should ensure:","Radar, sound signals, engines, and lookout arrangements are ready","Only the pilot ladder is rigged","Only the ECDIS route is displayed north-up","The BNWAS is disabled","A","watchkeeping",1,149
oow,"The best description of good bridge resource management is:","One person navigating alone to avoid confusion","Using all available people, information, and equipment effectively for safe navigation","Allowing the pilot to override all monitoring","Keeping discussions to a minimum even when concerned","B","watchkeeping",1,150
